team_code,school,school_code
420704104220001,秋林高中,420704104220001001
371581003057001,202号,371581003057001001
431223100221001,新村,431223100221001001
440511014008001,联升花园,440511014008001001
321111004202001,301,321111004202001001
320214054001001,梅泰东路,320214054001001001
230203002008001,九十分队,230203002008001001
430626109214001,委会兰桥村,430626109214001001
210602006006001,19号楼,210602006006001001
510703003011001,水韵滨江,510703003011001001
350206003026001,202,350206003026001001
321322001029001,门面房,321322001029001001
330182002215001,801,330182002215001001
320402003206001,102室,320402003206001001
330522001038001,燕子果业水果店,330522001038001001
440882001012001,专卖店,440882001012001001
440106010016001,8号,440106010016001001
360702190214001,4栋,360702190214001001
440607004204001,5号,440607004204001001
320506406001001,12幢,320506406001001001
360112503001001,商铺发哥担担面,360112503001001001
500112145001001,浩博天地12栋,500112145001001001
440111014028001,133号,440111014028001001
430903403001001,15栋,430903403001001001
331124101230001,1号,331124101230001001
320586001001001,19栋,320586001001001001
230202006008001,康复大楼,230202006008001001
440305401001001,厂房,440305401001001001
320571199070001,78栋,320571199070001001
320922111218001,二楼,320922111218001001
330803001237001,871号,330803001237001001
370613002213001,1602附1,370613002213001001
610502001201001,南塘路,610502001201001001
340405121212001,1单元,340405121212001001
371072009013001,宋家洼南门,371072009013001001
310104003029001,上海图书馆1042室,310104003029001001
610502005201001,西北电建一公司,610502005201001001
445202001202001,16栋,445202001202001001
450205004010001,5栋,450205004010001001
510722137231001,芦溪中学,510722137231001001
370785001259001,邦泰散热器有限公司,370785001259001001
340403003011001,13号楼,340403003011001001
440404103205001,1单元,440404103205001001
340207004007001,芜湖职业技术学院,340207004007001001
411302004009001,老高炮营旁别墅,411302004009001001
310113502001001,普洛斯物流园,310113502001001001
510108010201001,邮政运输分局,510108010201001001
442000100001001,201,442000100001001001
331002006241001,川藤缝纫机,331002006241001001
211481004201001,4单元,211481004201001001
360103006011001,5楼,360103006011001001
350111100502001,15号,350111100502001001
330782107001001,41号,330782107001001001
441602003002001,404,441602003002001001
310110019040001,101包房,310110019040001001
